DNA01| Acid Ball| Attack| Acid| Water| 1| 5| 0;
MWBG1C06| Usslak, Greater Orb Guardian| Creature| Antarian| Arcane, Dark| 2 & 1| 11| 0;
MW1C39| Valshalla, Lightning Angel| Creature| Angel| Holy| 5| 21| 0;
MW1I29| Vampiric Strike| Incantation| Vampiric| Dark| 1| 3| 0;
MW1E40| Vampirism| Enchantment| Vampiric| Dark| 2| 2| 4;
DNC19| Venomous Zombie| Creature| Undead, Zombie| Dark| 2| 7| 0;
DNQ07| Veteran's Belt| Equipment| None| War| 1| 4| 0;
DNC20| Vine Snapper| Creature| Plant, Vine| Nature| 2| 7| 0;
DNJ12| Vine Tree| Conjuration| Plant, Tree| Nature| 2| 9| 0;
DNQ08| Vinewhip Staff| Equipment| Vine| Nature| 2| 7| 0;
MWBG1E04| V'Tar Force Sentry| Enchantment| V'Tar, Protection, Force| Mind| 1| 2| 3;
MWBG1I03| V'Tar Suppression| Incantation| V'Tar, Curse| Dark| 2| 6| 0;
MWBG1A05| V'Tarrian Energy Wave| Attack| V'Tar| Arcane| 3| 12| 0;
MWBG1I02| V'Tarrian Healing Song| Incantation| V'Tar, Healing| Holy| 1| 5| 0;
MWBG1J03| V'Torrak Gate| Conjuration| Teleport, Portal| Arcane| 2| 8| 0;
DNW02| Wall of Bones| Conjuration| Skeleton| Dark| 1| 6| 0;
MWSTX2FFW01| Wall of Earth| Conjuration| None| Earth| 1| 5| 0;
MW1W03| Wall of Fire| Conjuration| Flame| Fire| 2| 7| 0;
MWBG1W01| Wall of Force| Conjuration| Force| Mind| 1| 6| 0;
FWW01| Wall of Pikes| Conjuration| None| War| 1| 4| 0;
MWSTX1CKW01| Wall of Steel| Conjuration| Metal| Earth| 2| 8| 0;
MW1W02| Wall of Stone| Conjuration| Stone| Earth| 2| 7| 0;
MW1W04| Wall of Thorns| Conjuration| Plant| Nature| 1| 5| 0;
DNQ09| Wand of Healing| Equipment| Healing| Holy| 1| 2| 0;
FWQ11| War Sledge| Equipment| None| War| 2| 8| 0;
MW1C40| Whirling Spirit| Creature| Wind| Air| 4| 12| 0;
FWI10| Whirling Strike| Incantation| Command| War| 2| 9| 0;
MWSTX2FFC13| Wildfire Imp| Creature| Demon| Dark| 1| 5| 0;
MW1Q33| Wind Wyvern Hide| Equipment| None| Air| 1| 6| 0;
MWBG1A06| Windstorm| Attack| Wind| Air| 1| 4| 0;
MWSTX1CKJ02| Wizard's Tower| Conjuration| Tower| Arcane| 2| 7| 0;
DNJ13| Ziggurat of Undeath| Conjuration| Artifact, Temple| Dark| 2| 8| 0;
DNC22| Zombie Brute| Creature| Undead, Zombie| Dark| 3| 11| 0;
DNC23| Zombie Crawler| Creature| Undead, Zombie| Dark| 1| 4| 0;
DNI06| Zombie Frenzy| Incantation| Necro| Dark| 2| 9| 0;
DNC24| Zombie Minion| Creature| Undead, Zombie| Dark| 2| 7| 0;
